AccNum	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Species	Lineage	Annotation	GI
APZ34848.1	DUF3046	-	DUF3046	74	BOH66_11775	Microbacterium aurum	bacteria>actinobacteria	signal transduction histidine kinase [Microbacterium aurum]	1137414320 
BAJ73270.1	DUF3046	-	DUF3046	74	MTES_0306	Microbacterium testaceum StLB037	bacteria>actinobacteria	hypothetical protein MTES_0306 [Microbacterium testaceum StLB037]	323273125
CBT75310.1	DUF3046	SIG	DUF3046	74	AARI_11000	Glutamicibacter arilaitensis Re117	bacteria>actinobacteria	conserved hypothetical protein [Glutamicibacter arilaitensis Re117]	307744338
AEG81880.1	DUF3046	-	DUF3046	73	CULC809_01348	Corynebacterium ulcerans 809	bacteria>actinobacteria	hypothetical protein CULC809_01348 [Corynebacterium ulcerans 809]	334697083
AEG84071.1	DUF3046	-	DUF3046	73	CULC22_01361	Corynebacterium ulcerans BR-AD22	bacteria>actinobacteria	hypothetical protein CULC22_01361 [Corynebacterium ulcerans BR-AD22]	334699275
AIT89368.1	DUF3046	-	DUF3046	73	Cul210932_1430	Corynebacterium ulcerans	bacteria>actinobacteria	Hypothetical protein Cul210932_1430 [Corynebacterium ulcerans]	698189493
AIU30655.1	DUF3046	-	DUF3046	73	Cul210931_1319	Corynebacterium ulcerans	bacteria>actinobacteria	Hypothetical protein Cul210931_1319 [Corynebacterium ulcerans]	698969793
AIU32904.1	DUF3046	-	DUF3046	73	CulFRC11_1335	Corynebacterium ulcerans FRC11	bacteria>actinobacteria	Hypothetical protein CulFRC11_1335 [Corynebacterium ulcerans FRC11]	698973094
AIU91957.1	DUF3046	-	DUF3046	73	Cul05146_1395	Corynebacterium ulcerans	bacteria>actinobacteria	Hypothetical protein Cul05146_1395 [Corynebacterium ulcerans]	700340451
AJT40587.1	DUF3046	-	DUF3046	73	UM93_01820	Arthrobacter sp. IHBB 11108	bacteria>actinobacteria	histidine kinase [Arthrobacter sp. IHBB 11108]	767256704
AKA96874.1	DUF3046	-	DUF3046	73	CUL131002_1349c	Corynebacterium ulcerans	bacteria>actinobacteria	Hypothetical protein CUL131002_1349c [Corynebacterium ulcerans]	803356559
AKN77249.1	DUF3046	-	DUF3046	73	CulFRC58_1395	Corynebacterium ulcerans FRC58	bacteria>actinobacteria	Hypothetical protein CulFRC58_1395 [Corynebacterium ulcerans FRC58]	852474238
ALB03444.1	DUF3046	-	DUF3046	73	KPaMU14_08025	Kocuria palustris	bacteria>actinobacteria	histidine kinase [Kocuria palustris]	923034704
ALD95146.1	DUF3046	-	DUF3046	73	Cul131001_1449	Corynebacterium ulcerans	bacteria>actinobacteria	Hypothetical protein Cul131001_1449 [Corynebacterium ulcerans]	927310817
ALE05340.1	DUF3046	-	DUF3046	73	AL755_07425	Arthrobacter sp. ERGS1:01	bacteria>actinobacteria	histidine kinase [Arthrobacter sp. ERGS1:01]	927293889
ALE91688.1	DUF3046	-	DUF3046	73	AOC05_03965	Arthrobacter alpinus	bacteria>actinobacteria	histidine kinase [Arthrobacter alpinus]	928486349
ALJ21042.1	DUF3046	-	DUF3046	73	AOA12_14495	Microbacterium sp. No. 7	bacteria>actinobacteria	signal transduction histidine kinase [Microbacterium sp. No. 7]	938164402
ALO67563.1	DUF3046	-	DUF3046	73	AS189_15040	Arthrobacter alpinus	bacteria>actinobacteria	histidine kinase [Arthrobacter alpinus]	953322280
ALU39775.1	DUF3046	-	DUF3046	73	AS188_08460	Kocuria flava	bacteria>actinobacteria	histidine kinase [Kocuria flava]	970325398
ALV44784.1	DUF3046	-	DUF3046	73	MB46_03905	Arthrobacter sp. A3	bacteria>actinobacteria	histidine kinase [Arthrobacter sp. A3]	971344603
ALX66813.1	DUF3046	-	DUF3046	73	AB663_002215	Microbacterium sp. XT11	bacteria>actinobacteria	hypothetical protein AB663_002215 [Microbacterium sp. XT11]	973721435
AMM32362.1	DUF3046	-	DUF3046	73	SA2016_1686	Sinomonas atrocyanea	bacteria>actinobacteria	histidine kinase [Sinomonas atrocyanea]	1001865876 
ANP72114.1	DUF3046	-	DUF3046	73	PA27867_1148	Cryobacterium arcticum	bacteria>actinobacteria	hypothetical protein PA27867_1148 [Cryobacterium arcticum]	1042050226 
ANS80547.1	DUF3046	-	DUF3046	73	SGUI_3151	Serinicoccus sp. JLT9	bacteria>actinobacteria	hypothetical protein SGUI_3151 [Serinicoccus sp. JLT9]	1043661428 
BAG29932.1	DUF3046	-	DUF3046	73	KRH_15850	Kocuria rhizophila DC2201	bacteria>actinobacteria	hypothetical protein KRH_15850 [Kocuria rhizophila DC2201]	183581461
BAS19517.1	DUF3046	-	DUF3046	73	RM6536_0270	Rothia mucilaginosa	bacteria>actinobacteria	hypothetical protein RM6536_0270 [Rothia mucilaginosa]	915387034
ACS30254.1	DUF3046	-	DUF3046	72	Mlut_07220	Micrococcus luteus NCTC 2665	bacteria>actinobacteria	hypothetical protein Mlut_07220 [Micrococcus luteus NCTC 2665]	239838457
AHH20188.1	DUF3046	-	DUF3046	72	NONO_c54080	Nocardia nova SH22a	bacteria>actinobacteria	hypothetical protein NONO_c54080 [Nocardia nova SH22a]	576087798
AMD98075.1	DUF3046	-	DUF3046	72	AXE84_00375	Actinomyces oris	bacteria>actinobacteria	hypothetical protein AXE84_00375 [Actinomyces oris]	987462641
ANG85425.1	DUF3046	-	DUF3046	72	A8L33_08520	Microbacterium chocolatum	bacteria>actinobacteria	signal transduction histidine kinase [Microbacterium chocolatum]	1032533841 
AOT04024.1	DUF3046	-	DUF3046	72	ASPU41_12530	Arthrobacter sp. U41	bacteria>actinobacteria	histidine kinase [Arthrobacter sp. U41]	1071994326 
ADB76489.1	DUF3046	-	DUF3046	71	Gobs_3920	Geodermatophilus obscurus DSM 43160	bacteria>actinobacteria	conserved hypothetical protein [Geodermatophilus obscurus DSM 43160]	284065551
AGN19467.1	DUF3046	-	DUF3046	71	C624_09460	Corynebacterium glutamicum SCgG1	bacteria>actinobacteria	hypothetical protein C624_09460 [Corynebacterium glutamicum SCgG1]	509087222
AGP30942.1	DUF3046	-	DUF3046	71	A606_06475	Corynebacterium terpenotabidum Y-11	bacteria>actinobacteria	hypothetical protein A606_06475 [Corynebacterium terpenotabidum Y-11]	521018390
AGS35043.1	DUF3046	-	DUF3046	71	B841_07850	Corynebacterium maris DSM 45190	bacteria>actinobacteria	hypothetical protein B841_07850 [Corynebacterium maris DSM 45190]	528325728
AGT05696.1	DUF3046	-	DUF3046	71	cgp_2145	Corynebacterium glutamicum MB001	bacteria>actinobacteria	hypothetical protein cgp_2145 [Corynebacterium glutamicum MB001]	529578243
AHI19841.1	DUF3046	-	DUF3046	71	CCASEI_06325	Corynebacterium casei LMG S-19264	bacteria>actinobacteria	hypothetical protein CCASEI_06325 [Corynebacterium casei LMG S-19264]	582016495
AIJ33750.1	DUF3046	-	DUF3046	71	CIMIT_07400	Corynebacterium imitans	bacteria>actinobacteria	hypothetical protein CIMIT_07400 [Corynebacterium imitans]	672594773
AIK85393.1	DUF3046	-	DUF3046	71	CGLAR1_09075	Corynebacterium glutamicum	bacteria>actinobacteria	hypothetical protein CGLAR1_09075 [Corynebacterium glutamicum]	674168194
AIK88178.1	DUF3046	-	DUF3046	71	AR0_09225	Corynebacterium glutamicum	bacteria>actinobacteria	hypothetical protein AR0_09225 [Corynebacterium glutamicum]	674156924
AIL97100.1	DUF3046	-	DUF3046	71	CUREI_07170	Corynebacterium ureicelerivorans	bacteria>actinobacteria	hypothetical protein CUREI_07170 [Corynebacterium ureicelerivorans]	675825410
AIT61305.1	DUF3046	-	DUF3046	71	CDOO_08570	Corynebacterium doosanense CAU 212 = DSM 45436	bacteria>actinobacteria	hypothetical protein CDOO_08570 [Corynebacterium doosanense CAU 212 = DSM 45436]	697778569
AJE33416.1	DUF3046	-	DUF3046	71	B842_07835	Corynebacterium humireducens NBRC 106098 = DSM 45392	bacteria>actinobacteria	hypothetical protein B842_07835 [Corynebacterium humireducens NBRC 106098 = DSM 45392]	748229962
AJE67653.1	DUF3046	-	DUF3046	71	SB89_08910	Corynebacterium glutamicum	bacteria>actinobacteria	hypothetical protein SB89_08910 [Corynebacterium glutamicum]	748811342
AKE39365.1	DUF3046	-	DUF3046	71	UL81_07045	Corynebacterium camporealensis	bacteria>actinobacteria	Protein of unknown function (DUF3046) [Corynebacterium camporealensis]	814960998
AKF27700.1	DUF3046	-	DUF3046	71	YH66_09145	[Brevibacterium] flavum	bacteria>actinobacteria	hypothetical protein YH66_09145 [[Brevibacterium] flavum]	817155165
ALP51576.1	DUF3046	-	DUF3046	71	AC079_09495	Corynebacterium glutamicum	bacteria>actinobacteria	hypothetical protein AC079_09495 [Corynebacterium glutamicum]	954626400
AMA01570.1	DUF3046	-	DUF3046	71	APT58_09440	Corynebacterium glutamicum	bacteria>actinobacteria	hypothetical protein APT58_09440 [Corynebacterium glutamicum]	975043072
AMJ44468.1	DUF3046	-	DUF3046	71	AW169_05770	Corynebacterium stationis	bacteria>actinobacteria	hypothetical protein AW169_05770 [Corynebacterium stationis]	995959459
AMO90147.1	DUF3046	-	DUF3046	71	WM42_2450	Corynebacterium simulans	bacteria>actinobacteria	hypothetical protein WM42_2450 [Corynebacterium simulans]	1004391115 
AMO92701.1	DUF3046	-	DUF3046	71	AWU68_2457	Corynebacterium simulans	bacteria>actinobacteria	hypothetical protein AWU68_2457 [Corynebacterium simulans]	1004393670 
ANE05348.1	DUF3046	-	DUF3046	71	ccrud_08455	Corynebacterium crudilactis	bacteria>actinobacteria	hypothetical protein ccrud_08455 [Corynebacterium crudilactis]	1027917863 
ANE09822.1	DUF3046	-	DUF3046	71	A3654_09205	Corynebacterium glutamicum	bacteria>actinobacteria	hypothetical protein A3654_09205 [Corynebacterium glutamicum]	1027953089 
ANR62820.1	DUF3046	-	DUF3046	71	C628_09420	[Brevibacterium] flavum ZL-1	bacteria>actinobacteria	hypothetical protein C628_09420 [[Brevibacterium] flavum ZL-1]	1043175617 
ANR65824.1	DUF3046	-	DUF3046	71	C627_09325	Corynebacterium glutamicum ZL-6	bacteria>actinobacteria	hypothetical protein C627_09325 [Corynebacterium glutamicum ZL-6]	1043178622 
ANU35098.1	DUF3046	-	DUF3046	71	BBD29_09285	Corynebacterium glutamicum	bacteria>actinobacteria	hypothetical protein BBD29_09285 [Corynebacterium glutamicum]	1045038591 
APT08851.1	DUF3046	-	DUF3046	71	BSP99_09550	Corynebacterium glutamicum	bacteria>actinobacteria	hypothetical protein BSP99_09550 [Corynebacterium glutamicum]	1127832964 
APT87033.1	DUF3046	-	DUF3046	71	CFLV_07425	Corynebacterium flavescens	bacteria>actinobacteria	hypothetical protein CFLV_07425 [Corynebacterium flavescens]	1129922827 
APT94843.1	DUF3046	-	DUF3046	71	CSTAT_05660	Corynebacterium stationis	bacteria>actinobacteria	hypothetical protein CSTAT_05660 [Corynebacterium stationis]	1129935551 
BAC18660.1	DUF3046	-	DUF3046	71	-	Corynebacterium efficiens YS-314	bacteria>actinobacteria	conserved hypothetical protein [Corynebacterium efficiens YS-314]	23493691
CCH25101.1	DUF3046	-	DUF3046	71	WA5_1881	Corynebacterium glutamicum K051	bacteria>actinobacteria	hypothetical protein WA5_1881 [Corynebacterium glutamicum K051]	385144062
ADK29048.1	DUF3046	-	DUF3046	70	cpfrc_01255	Corynebacterium pseudotuberculosis FRC41	bacteria>actinobacteria	hypothetical protein cpfrc_01255 [Corynebacterium pseudotuberculosis FRC41]	300686126
ADL10721.1	DUF3046	-	DUF3046	70	CpC231_1247	Corynebacterium pseudotuberculosis C231	bacteria>actinobacteria	Hypothetical protein CpC231_1247 [Corynebacterium pseudotuberculosis C231]	302206379
ADL21129.1	DUF3046	-	DUF3046	70	Cp1002_1248	Corynebacterium pseudotuberculosis 1002	bacteria>actinobacteria	Hypothetical protein Cp1002_1248 [Corynebacterium pseudotuberculosis 1002]	302330935
ADO26521.1	DUF3046	-	DUF3046	70	CpI19_1254	Corynebacterium pseudotuberculosis I19	bacteria>actinobacteria	Hypothetical protein CpI19_1254 [Corynebacterium pseudotuberculosis I19]	308276622
AEK92586.1	DUF3046	-	DUF3046	70	CpPAT10_1247	Corynebacterium pseudotuberculosis PAT10	bacteria>actinobacteria	Hypothetical protein CpPAT10_1247 [Corynebacterium pseudotuberculosis PAT10]	341825065
AEP70493.1	DUF3046	-	DUF3046	70	Cp4202_1240	Corynebacterium pseudotuberculosis 42/02-A	bacteria>actinobacteria	Hypothetical protein Cp4202_1240 [Corynebacterium pseudotuberculosis 42/02-A]	348607220
AEQ06803.1	DUF3046	-	DUF3046	70	CpCIP5297_1271	Corynebacterium pseudotuberculosis CIP 52.97	bacteria>actinobacteria	Hypothetical protein CpCIP5297_1271 [Corynebacterium pseudotuberculosis CIP 52.97]	349735325
AER69295.1	DUF3046	-	DUF3046	70	Cp106_1230	Corynebacterium pseudotuberculosis 1/06-A	bacteria>actinobacteria	Hypothetical protein Cp106_1230 [Corynebacterium pseudotuberculosis 1/06-A]	355392630
AEX39743.1	DUF3046	-	DUF3046	70	Cp3995_1282	Corynebacterium pseudotuberculosis 3/99-5	bacteria>actinobacteria	Hypothetical protein Cp3995_1282 [Corynebacterium pseudotuberculosis 3/99-5]	371576140
AFB72607.1	DUF3046	-	DUF3046	70	Cp316_1303	Corynebacterium pseudotuberculosis 316	bacteria>actinobacteria	Hypothetical protein Cp316_1303 [Corynebacterium pseudotuberculosis 316]	377654258
AFF22408.1	DUF3046	-	DUF3046	70	CpP54B96_1273	Corynebacterium pseudotuberculosis P54B96	bacteria>actinobacteria	Hypothetical protein CpP54B96_1273 [Corynebacterium pseudotuberculosis P54B96]	380869934
AFH52207.1	DUF3046	-	DUF3046	70	Cp267_1308	Corynebacterium pseudotuberculosis 267	bacteria>actinobacteria	Hypothetical protein Cp267_1308 [Corynebacterium pseudotuberculosis 267]	383805128
AFH91074.1	DUF3046	-	DUF3046	70	Cp31_1266	Corynebacterium pseudotuberculosis 31	bacteria>actinobacteria	Hypothetical protein Cp31_1266 [Corynebacterium pseudotuberculosis 31]	384477278
AFK16898.1	DUF3046	-	DUF3046	70	Cp258_1270	Corynebacterium pseudotuberculosis 258	bacteria>actinobacteria	Hypothetical protein Cp258_1270 [Corynebacterium pseudotuberculosis 258]	388247907
AFM07592.1	DUF3046	-	DUF3046	70	Cp162_1249	Corynebacterium pseudotuberculosis Cp162	bacteria>actinobacteria	Hypothetical protein Cp162_1249 [Corynebacterium pseudotuberculosis Cp162]	390531863
AHU88932.1	DUF3046	-	DUF3046	70	CQ11_01755	Trueperella pyogenes	bacteria>actinobacteria	hypothetical protein CQ11_01755 [Trueperella pyogenes]	604188586
AIG07659.1	DUF3046	-	DUF3046	70	CPTA_01830	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein CPTA_01830 [Corynebacterium pseudotuberculosis]	666103782
AIG09988.1	DUF3046	-	DUF3046	70	CPTB_01932	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein CPTB_01932 [Corynebacterium pseudotuberculosis]	666108220
AIG12112.1	DUF3046	-	DUF3046	70	CPTC_01824	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein CPTC_01824 [Corynebacterium pseudotuberculosis]	666112053
AJC13993.1	DUF3046	-	DUF3046	70	CpVD57_1280	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpVD57_1280 [Corynebacterium pseudotuberculosis]	743593838
AJC69776.1	DUF3046	-	DUF3046	70	X956_06795	Trueperella pyogenes TP8	bacteria>actinobacteria	histidine kinase [Trueperella pyogenes TP8]	744783343
AKC74017.1	DUF3046	-	DUF3046	70	Cp226_1299	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein Cp226_1299 [Corynebacterium pseudotuberculosis]	807231314
AKI59613.1	DUF3046	-	DUF3046	70	Cp29156_1223	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein Cp29156_1223 [Corynebacterium pseudotuberculosis]	827408971
AKJ55932.1	DUF3046	-	DUF3046	70	Cp12C_1325	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein Cp12C_1325 [Corynebacterium pseudotuberculosis]	827031018
AKK06146.1	DUF3046	-	DUF3046	70	CMUST_09145	Corynebacterium mustelae	bacteria>actinobacteria	putative DUF3046 family protein [Corynebacterium mustelae]	827631027
AKP08913.1	DUF3046	-	DUF3046	70	Cp262_1250	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein Cp262_1250 [Corynebacterium pseudotuberculosis]	870600870
AKS13591.1	DUF3046	-	DUF3046	70	CpE19_1253	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpE19_1253 [Corynebacterium pseudotuberculosis]	902820280
ALD74425.1	DUF3046	-	DUF3046	70	AN946_09110	Trueperella pyogenes	bacteria>actinobacteria	hypothetical protein AN946_09110 [Trueperella pyogenes]	927043217
ALF57674.1	DUF3046	-	DUF3046	70	AN902_05990	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein AN902_05990 [Corynebacterium pseudotuberculosis]	930355230
ALM77945.1	DUF3046	-	DUF3046	70	Cp1002B_1403	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein Cp1002B_1403 [Corynebacterium pseudotuberculosis]	948530402
ALP33923.1	DUF3046	-	DUF3046	70	CpN1_1247	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpN1_1247 [Corynebacterium pseudotuberculosis]	954040157
ALR33863.1	DUF3046	-	DUF3046	70	CpPA01_1202	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpPA01_1202 [Corynebacterium pseudotuberculosis]	959200687
ALU17705.1	DUF3046	-	DUF3046	70	AN397_06000	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein AN397_06000 [Corynebacterium pseudotuberculosis]	969861841
ALU19695.1	DUF3046	-	DUF3046	70	AK970_06000	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein AK970_06000 [Corynebacterium pseudotuberculosis]	969863832
ALU21675.1	DUF3046	-	DUF3046	70	AN398_05990	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein AN398_05990 [Corynebacterium pseudotuberculosis]	969865813
AMN70189.1	DUF3046	-	DUF3046	70	ATN02_06825	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein ATN02_06825 [Corynebacterium pseudotuberculosis]	1002760907 
AMN72039.1	DUF3046	-	DUF3046	70	ATN03_06375	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein ATN03_06375 [Corynebacterium pseudotuberculosis]	1002762758 
AMN73476.1	DUF3046	-	DUF3046	70	ATN04_03340	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein ATN04_03340 [Corynebacterium pseudotuberculosis]	1002764196 
AMN76360.1	DUF3046	-	DUF3046	70	ATN05_08790	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein ATN05_08790 [Corynebacterium pseudotuberculosis]	1002767081 
ANH23961.1	DUF3046	-	DUF3046	70	CpE55_1256	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpE55_1256 [Corynebacterium pseudotuberculosis]	1032991247 
ANH26016.1	DUF3046	-	DUF3046	70	CpMEX9_1245	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpMEX9_1245 [Corynebacterium pseudotuberculosis]	1032993542 
ANK56622.1	DUF3046	-	DUF3046	70	CpPA02_1212	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpPA02_1212 [Corynebacterium pseudotuberculosis]	1036578356 
ANQ77448.1	DUF3046	-	DUF3046	70	CpCP13_1286	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpCP13_1286 [Corynebacterium pseudotuberculosis]	1042814319 
ANQ79572.1	DUF3046	-	DUF3046	70	CpT1_1279	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpT1_1279 [Corynebacterium pseudotuberculosis]	1042816444 
ANZ92471.1	DUF3046	-	DUF3046	70	CPMB20_08800	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein CPMB20_08800 [Corynebacterium pseudotuberculosis]	1051002222 
APA72947.1	DUF3046	-	DUF3046	70	CpMEX29_1246	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpMEX29_1246 [Corynebacterium pseudotuberculosis]	1098509767 
APB11127.1	DUF3046	-	DUF3046	70	A4R72_06580	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein A4R72_06580 [Corynebacterium pseudotuberculosis]	1100272282 
APB13171.1	DUF3046	-	DUF3046	70	A4R71_06595	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein A4R71_06595 [Corynebacterium pseudotuberculosis]	1100275099 
APB15216.1	DUF3046	-	DUF3046	70	A4R68_06590	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein A4R68_06590 [Corynebacterium pseudotuberculosis]	1100278085 
APB17261.1	DUF3046	-	DUF3046	70	A4R67_06570	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein A4R67_06570 [Corynebacterium pseudotuberculosis]	1100281018 
APB19311.1	DUF3046	-	DUF3046	70	A4R66_06575	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein A4R66_06575 [Corynebacterium pseudotuberculosis]	1100284105 
APB21351.1	DUF3046	-	DUF3046	70	A4R65_06570	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein A4R65_06570 [Corynebacterium pseudotuberculosis]	1100287102 
APB23359.1	DUF3046	-	DUF3046	70	A4R64_06365	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein A4R64_06365 [Corynebacterium pseudotuberculosis]	1100289555 
APB25367.1	DUF3046	-	DUF3046	70	A4R63_06350	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein A4R63_06350 [Corynebacterium pseudotuberculosis]	1100292046 
APB27417.1	DUF3046	-	DUF3046	70	A4R62_06575	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein A4R62_06575 [Corynebacterium pseudotuberculosis]	1100294925 
APB29466.1	DUF3046	-	DUF3046	70	A4R69_06575	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein A4R69_06575 [Corynebacterium pseudotuberculosis]	1100297746 
APG81817.1	DUF3046	-	DUF3046	70	CPI37_1164	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CPI37_1164 [Corynebacterium pseudotuberculosis]	1110963343 
APQ54345.1	DUF3046	-	DUF3046	70	CpMEX30_1315	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpMEX30_1315 [Corynebacterium pseudotuberculosis]	1125825475 
APQ56432.1	DUF3046	-	DUF3046	70	CpMEX31_1310	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpMEX31_1310 [Corynebacterium pseudotuberculosis]	1125830171 
APT90602.1	DUF3046	-	DUF3046	70	CSPHI_05615	Corynebacterium sphenisci DSM 44792	bacteria>actinobacteria	hypothetical protein CSPHI_05615 [Corynebacterium sphenisci DSM 44792]	1129928614 
APZ31975.1	DUF3046	-	DUF3046	70	CpMEX1_1241	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	Hypothetical protein CpMEX1_1241 [Corynebacterium pseudotuberculosis]	1137411131 
AQL51371.1	DUF3046	-	DUF3046	70	CpPA04_1272	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein CpPA04_1272 [Corynebacterium pseudotuberculosis]	1142905362 
BAM27677.1	DUF3046	-	DUF3046	70	CULC0102_1478	Corynebacterium ulcerans 0102	bacteria>actinobacteria	hypothetical protein CULC0102_1478 [Corynebacterium ulcerans 0102]	393403185
ABW10672.1	DUF3046	-	DUF3046	69	Franean1_1218	Frankia sp. EAN1pec	bacteria>actinobacteria	conserved hypothetical protein [Frankia sp. EAN1pec]	158108475
ACV80287.1	DUF3046	-	DUF3046	69	Namu_3995	Nakamurella multipartita DSM 44233	bacteria>actinobacteria	hypothetical protein Namu_3995 [Nakamurella multipartita DSM 44233]	258557345
AIG64002.1	DUF3046	-	DUF3046	69	CATYP_04305	Corynebacterium atypicum	bacteria>actinobacteria	hypothetical protein CATYP_04305 [Corynebacterium atypicum]	667687390
AAK47129.1	DUF3046	-	DUF3046	68	MT2808	Mycobacterium tuberculosis CDC1551	bacteria>actinobacteria	conserved hypothetical protein [Mycobacterium tuberculosis CDC1551]	13882571
AAS05167.1	DUF3046	-	DUF3046	68	MAP_2850c	Mycobacterium avium subsp. paratuberculosis K-10	bacteria>actinobacteria	hypothetical protein MAP_2850c [Mycobacterium avium subsp. paratuberculosis K-10]	41397307
ABL05560.1	DUF3046	-	DUF3046	68	MUL_3382	Mycobacterium ulcerans Agy99	bacteria>actinobacteria	conserved hypothetical protein [Mycobacterium ulcerans Agy99]	118570809
ABQ74541.1	DUF3046	-	DUF3046	68	MRA_2765	Mycobacterium tuberculosis H37Ra	bacteria>actinobacteria	hypothetical protein MRA_2765 [Mycobacterium tuberculosis H37Ra]	148506732
ACC40425.1	DUF3046	-	DUF3046	68	MMAR_1975	Mycobacterium marinum M	bacteria>actinobacteria	conserved hypothetical protein [Mycobacterium marinum M]	183175315
AEI09566.1	DUF3046	-	DUF3046	68	CRES_1211	Corynebacterium resistens DSM 45100	bacteria>actinobacteria	hypothetical protein CRES_1211 [Corynebacterium resistens DSM 45100]	336101746
AEN01197.1	DUF3046	-	DUF3046	68	MTCTRI2_2791	Mycobacterium tuberculosis CTRI-2	bacteria>actinobacteria	hypothetical protein MTCTRI2_2791 [Mycobacterium tuberculosis CTRI-2]	344220566
AET20019.1	DUF3046	-	DUF3046	68	BCGMEX_2745c	Mycobacterium bovis BCG str. Mexico	bacteria>actinobacteria	Hypothetical protein BCGMEX_2745c [Mycobacterium bovis BCG str. Mexico]	356594790
AFC44681.1	DUF3046	-	DUF3046	68	OCU_34620	Mycobacterium intracellulare ATCC 13950	bacteria>actinobacteria	hypothetical protein OCU_34620 [Mycobacterium intracellulare ATCC 13950]	378800545
AFC49820.1	DUF3046	-	DUF3046	68	OCO_34570	Mycobacterium intracellulare MOTT-02	bacteria>actinobacteria	hypothetical protein OCO_34570 [Mycobacterium intracellulare MOTT-02]	378805685
AFC55091.1	DUF3046	-	DUF3046	68	OCQ_35790	Mycobacterium intracellulare MOTT-64	bacteria>actinobacteria	hypothetical protein OCQ_35790 [Mycobacterium intracellulare MOTT-64]	378810957
AFE13892.1	DUF3046	-	DUF3046	68	MRGA423_17005	Mycobacterium tuberculosis RGTB423	bacteria>actinobacteria	hypothetical protein MRGA423_17005 [Mycobacterium tuberculosis RGTB423]	380726097
AFE17560.1	DUF3046	-	DUF3046	68	MRGA327_16785	Mycobacterium tuberculosis RGTB327	bacteria>actinobacteria	hypothetical protein MRGA327_16785 [Mycobacterium tuberculosis RGTB327]	380722451
AFJ36420.1	DUF3046	-	DUF3046	68	W7S_17295	Mycobacterium sp. MOTT36Y	bacteria>actinobacteria	hypothetical protein W7S_17295 [Mycobacterium sp. MOTT36Y]	386790301
AFN50712.1	DUF3046	-	DUF3046	68	RVBD_2738c	Mycobacterium tuberculosis H37Rv	bacteria>actinobacteria	hypothetical protein RVBD_2738c [Mycobacterium tuberculosis H37Rv]	395139553
