AccNum	GenContext	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Species	Lineage	Annotation	GI	Lineage.final	Lineage.final.old	Domain	DomArch.norep	GenContext.norep	DA.doms	GC.DA
AKL65862.1	<-LiaR:REC+HTH<-?||?-><-X?<-PspA*	PspA_IM30	SIG	PspA_IM30	260	M444_11085	Streptomyces sp Mg1	bacteria>actinobacteria	phage-shock protein [Streptomyces sp. Mg1]	829479719	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-LiaR:REC+HTH<-?||?-><-X?<-PspA*	PspA_IM30	 LiaR:REC+HTH ? ? X? PspA*
ANH39051.1	PspA*->X?->HtpX:SIG+TMs-Metallopeptidase->Y?->	PspA_IM30	SIG+SFII-RAD3	PspA_IM30	260	I601_2635	Nocardioides dokdonensis FR1436	bacteria>actinobacteria	hypothetical protein I601_2635 [Nocardioides dokdonensis FR1436]	1033003723	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	PspA*->X?->HtpX:SIG+TMs-Metallopeptidase->Y?->	PspA_IM30	PspA* X? HtpX:SIG+TMs-Metallopeptidase Y? 
AOW86580.1	<-X?<-PspA*	PspA_IM30	SIG	PspA_IM30	260	BC342_08495	Streptomyces pactum	bacteria>actinobacteria	phage shock protein A [Streptomyces pactum]	1082321854	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-X?<-PspA*	PspA_IM30	 X? PspA*
BAN02659.1	<-PspA*	PspA_IM30	-	PspA_IM30	260	YM304_23450	Ilumatobacter coccineus YM16304	bacteria>actinobacteria	hypothetical protein YM304_23450 [Ilumatobacter coccineus YM16-304]	464099777	bacteria>actinobacteria	bacteria>actinobacteria	bacteria	PspA_IM30	<-PspA*	PspA_IM30	 PspA*
BAU11084.1	PspA*->	PspA_IM30	-	PspA_IM30	260	LEP3755_15770	Leptolyngbya sp NIES3755	bacteria>cyanobacteria	PspA/IM30 family protein [Leptolyngbya sp. NIES-3755]	965631512	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	PspA*->	PspA_IM30	PspA* 
KPQ34421.1	PspA*->	PspA_IM30	SIG	PspA_IM30	260	pspA-2	Phormidesmis priestleyi Ana	bacteria>cyanobacteria	phage shock protein A [Phormidesmis priestleyi Ana]	938300870	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	PspA*->	PspA_IM30	PspA* 
OBQ28692.1	<-PspA*<-PspA<-TM?	PspA_IM30	-	PspA_IM30	260	AN483_14460	Aphanizomenon flosaquae MDT14a	bacteria>cyanobacteria	hypothetical protein AN483_14460 [Aphanizomenon flos-aquae MDT14a]	1039184662	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-PspA*<-PspA<-TM?	PspA_IM30	 PspA* PspA TM?
ACK70571.1	<-Thioredoxin:trxA<-PspA*	PspA_IM30	-	PspA_IM30	259	PCC7424_2144	Cyanothece sp PCC 7424	bacteria>cyanobacteria	phage shock protein A, PspA [Cyanothece sp. PCC 7424]	218171838	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-Thioredoxin:trxA<-PspA*	PspA_IM30	 Thioredoxin:trxA PspA*
ACL47394.1	TM?->PspA*->	PspA_IM30	-	PspA_IM30	259	Cyan7425_5100	Cyanothece sp PCC 7425	bacteria>cyanobacteria	phage shock protein A, PspA [Cyanothece sp. PCC 7425]	219867055	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	TM?->PspA*->	PspA_IM30	TM? PspA* 
AEV66797.1	Classical-AAA->PspA*->	SIG	SIG	PspA_IM30	259	Clocl_0039	Clostridium clariflavum DSM 19732	bacteria>firmicutes	phage shock protein A (IM30), suppresses sigma54-dependent transcription [[Clostridium] clariflavum DSM 19732]	359824024	bacteria>firmicutes	bacteria>firmicutes	bacteria	SIG	Classical-AAA->PspA*->	SIG	Classical-AAA PspA* 
AFZ48524.1	<-PspA*	PspA_IM30	-	PspA_IM30	259	Cyast_2581	Cyanobacterium stanieri PCC 7202	bacteria>cyanobacteria	phage shock protein A, PspA [Cyanobacterium stanieri PCC 7202]	428688664	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-PspA*	PspA_IM30	 PspA*
ALO93355.1	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-X?<-PspA*	PspA_IM30	SIG	PspA_IM30	259	SHL15_2196	Streptomyces hygroscopicus subsp limoneus	bacteria>actinobacteria	Phage shock protein A [Streptomyces hygroscopicus subsp. limoneus]	953781835	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-X?<-PspA*	PspA_IM30	 LiaR:REC+HTH LiaS:SIG+TMs+HisKin X? PspA*
AQP44013.1	PspA*->X?->	PspA_IM30	SFII-RAD3	PspA_IM30	259	RPIT_03615	Tessaracoccus flavus	bacteria>actinobacteria	phage shock protein A [Tessaracoccus flavus]	1146008617	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	PspA*->X?->	PspA_IM30	PspA* X? 
AQS69960.1	PspA*->X?->LiaS:SIG+TMs+HisKin->LiaR:REC+HTH->	PspA_IM30	SIG	PspA_IM30	259	B1H29_26515	Streptomyces pactum	bacteria>actinobacteria	phage shock protein A [Streptomyces pactum]	1148984233	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	PspA*->X?->LiaS:SIG+TMs+HisKin->LiaR:REC+HTH->	PspA_IM30	PspA* X? LiaS:SIG+TMs+HisKin LiaR:REC+HTH 
BAQ61093.1	PspA*->	PspA_IM30	-	PspA_IM30	259	GM3708_1499	Geminocystis sp NIES3708	bacteria>cyanobacteria	phage shock protein A [Geminocystis sp. NIES-3708]	770468195	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	PspA*->	PspA_IM30	PspA* 
BAQ63660.1	<-PspA*	PspA_IM30	-	PspA_IM30	259	GM3709_425	Geminocystis sp NIES3709	bacteria>cyanobacteria	phage shock protein A [Geminocystis sp. NIES-3709]	770470768	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-PspA*	PspA_IM30	 PspA*
BAT53678.1	<-Thioredoxin:trxA<-PspA*<-PspA	PspA_IM30	-	PspA_IM30	259	NOS3756_26390	Nostoc sp NIES3756	bacteria>cyanobacteria	phage shock protein A, PspA [Nostoc sp. NIES-3756]	953510990	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-Thioredoxin:trxA<-PspA*<-PspA	PspA_IM30	 Thioredoxin:trxA PspA* PspA
CAB51252.1	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-X?<-PspA*	PspA_IM30	SIG	PspA_IM30	259	SC5F7.33c	Streptomyces coelicolor A32	bacteria>actinobacteria	hypothetical protein [Streptomyces coelicolor A3(2)]	5578850	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-X?<-PspA*	PspA_IM30	 LiaR:REC+HTH LiaS:SIG+TMs+HisKin X? PspA*
CUM41871.1	PspA*->X?->LiaS:SIG+TMs+HisKin->LiaR:REC+HTH->	PspA_IM30	SIG	PspA_IM30	259	BN2537_12707	Streptomyces venezuelae	bacteria>actinobacteria	PspA/IM30 family protein [Streptomyces venezuelae]	932870860	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	PspA*->X?->LiaS:SIG+TMs+HisKin->LiaR:REC+HTH->	PspA_IM30	PspA* X? LiaS:SIG+TMs+HisKin LiaR:REC+HTH 
CUW27965.1	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin||?-><-X?<-PspA*	PspA_IM30	SIG	PspA_IM30	259	TUE45_02695	Streptomyces reticuli	bacteria>actinobacteria	hypothetical protein TUE45_02695 [Streptomyces reticuli]	972708099	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin||?-><-X?<-PspA*	PspA_IM30	 LiaR:REC+HTH LiaS:SIG+TMs+HisKin ? X? PspA*
NP_001322349.1	Snf7*->	PspA_IM30	-	PspA_IM30	259	plastid,transcriptionally,active,4,T8F5.2,T8F5_2,VESICLE-INDUCING,PROTEIN,IN,PLASTIDS,1,VIPP1	Arabidopsis thaliana	eukaryota>viridiplantae	plastid transcriptionally active 4 [Arabidopsis thaliana]	1063696719	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	PspA_IM30	Snf7*->	PspA_IM30	Snf7* 
OGZ09246.1	<-PspA*	PspA_IM30	-	PspA_IM30	259	A3D67_01220	Candidatus Lloydbacteria bacterium RIFCSPHIGHO2_02_FULL_51_22	bacteria	hypothetical protein A3D67_01220 [Candidatus Lloydbacteria bacterium RIFCSPHIGHO2_02_FULL_51_22]	1088039294	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria	PspA_IM30	<-PspA*	PspA_IM30	 PspA*
OKY70674.1	<-PspA*||?-><-PspA	PspA_IM30	-	PspA_IM30	259	BJG00_15190	Limnothrix sp CACIAM 69d	bacteria>cyanobacteria	hypothetical protein BJG00_15190 [Limnothrix sp. CACIAM 69d]	1124125257	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-PspA*||?-><-PspA	PspA_IM30	 PspA* ? PspA
XP_013898966.1	<-Snf7*	PspA_IM30	SIG	PspA_IM30	259	MNEG_8012	Monoraphidium neglectum	eukaryota>viridiplantae>chlorophyta	putative membrane-associated protein Flags: Precursor [Monoraphidium neglectum]	926780984	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota	PspA_IM30	<-Snf7*	PspA_IM30	 Snf7*
AAZ59252.1	PspA*->?-><-ABC-ATPase	PspA_IM30	SIG	PspA_IM30	258	PMN2A_1764	Prochlorococcus marinus str NATL2A	bacteria>cyanobacteria	putative chloroplast membrane-associated 30 kD protein [Prochlorococcus marinus str. NATL2A]	72003450	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	PspA*->?-><-ABC-ATPase	PspA_IM30	PspA* ? ABC-ATPase
ABA19787.1	<-Thioredoxin:trxA<-PspA*<-PspA<-TM?	PspA_IM30	-	PspA_IM30	258	Ava_0161	Anabaena variabilis ATCC 29413	bacteria>cyanobacteria	phage shock protein A, PspA [Anabaena variabilis ATCC 29413]	75700111	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-Thioredoxin:trxA<-PspA*<-PspA<-TM?	PspA_IM30	 Thioredoxin:trxA PspA* PspA TM?
ABJ83373.1	<-DUF4178<-PspA*	PspA_IM30	-	PspA_IM30	258	Acid_2384	Candidatus Solibacter usitatus Ellin6076	bacteria>acidobacteria	phage shock protein A, PspA [Candidatus Solibacter usitatus Ellin6076]	116224664	bacteria>acidobacteria	bacteria>acidobacteria	bacteria	PspA_IM30	<-DUF4178<-PspA*	PspA_IM30	 DUF4178 PspA*
ABM75050.1	PspA*->?-><-ABC-ATPase	PspA_IM30	SIG	PspA_IM30	258	pspA	Prochlorococcus marinus str NATL1A	bacteria>cyanobacteria	membrane-associated 30 kDa-like protein [Prochlorococcus marinus str. NATL1A]	123960267	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	PspA*->?-><-ABC-ATPase	PspA_IM30	PspA* ? ABC-ATPase
ACB50382.1	<-Thioredoxin:trxA<-PspA*	PspA_IM30	-	PspA_IM30	258	cce_1031	Cyanothece sp ATCC 51142	bacteria>cyanobacteria	putative PspA/IM30 [Cyanothece sp. ATCC 51142]	171697401	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-Thioredoxin:trxA<-PspA*	PspA_IM30	 Thioredoxin:trxA PspA*
ACC82344.1	<-Thioredoxin:trxA<-PspA*<-PspA	PspA_IM30	-	PspA_IM30	258	Npun_R3963	Nostoc punctiforme PCC 73102	bacteria>cyanobacteria	phage shock protein A, PspA [Nostoc punctiforme PCC 73102]	186466543	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-Thioredoxin:trxA<-PspA*<-PspA	PspA_IM30	 Thioredoxin:trxA PspA* PspA
ADB95032.1	<-PspA*	PspA_IM30	-	PspA_IM30	258	UCYN_02870	Candidatus Atelocyanobacterium thalassa isolate ALOHA	bacteria>cyanobacteria	phage shock protein A (IM30), suppresses sigma54-dependent transcription [Candidatus Atelocyanobacterium thalassa isolate ALOHA]	284809327	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-PspA*	PspA_IM30	 PspA*
AEE44789.1	<-LiaR:REC+HTH||?-><-PspA*	PspA_IM30	-	PspA_IM30	258	Celf_0649	Cellulomonas fimi ATCC 484	bacteria>actinobacteria	phage shock protein A, PspA [Cellulomonas fimi ATCC 484]	332338206	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-LiaR:REC+HTH||?-><-PspA*	PspA_IM30	 LiaR:REC+HTH ? PspA*
AFY65047.1	<-PspA*<-PspA<-TM?	PspA_IM30	-	PspA_IM30	258	GEI7407_0548	Geitlerinema sp PCC 7407	bacteria>cyanobacteria	phage shock protein A (PspA) family protein [Geitlerinema sp. PCC 7407]	427983903	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-PspA*<-PspA<-TM?	PspA_IM30	 PspA* PspA TM?
AFY70668.1	<-PspA*	PspA_IM30	-	PspA_IM30	258	Pse7367_2407	Pseudanabaena sp PCC 7367	bacteria>cyanobacteria	phage shock protein A (PspA) family protein [Pseudanabaena sp. PCC 7367]	427990413	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-PspA*	PspA_IM30	 PspA*
AFY74609.1	<-PspA*	PspA_IM30	-	PspA_IM30	258	Syn7502_02650	Synechococcus sp PCC 7502	bacteria>cyanobacteria	phage shock protein A (IM30), suppresses sigma54-dependent transcription [Synechococcus sp. PCC 7502]	427995914	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-PspA*	PspA_IM30	 PspA*
AIQ96608.1	PspA*->?-><-ABC-ATPase	PspA_IM30	SIG	PspA_IM30	258	EW15_0516	Prochlorococcus sp MIT 0801	bacteria>cyanobacteria	Phage shock protein A [Prochlorococcus sp. MIT 0801]	689269715	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	PspA*->?-><-ABC-ATPase	PspA_IM30	PspA* ? ABC-ATPase
AKV67296.1	<-PspA*||?-><-PspA	PspA_IM30	-	PspA_IM30	258	VL20_2189	Microcystis panniformis FACHB1757	bacteria>cyanobacteria	Phage shock protein A [Microcystis panniformis FACHB-1757]	914399627	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-PspA*||?-><-PspA	PspA_IM30	 PspA* ? PspA
ALE92717.1	PspA*-><-?||HTH-XRE->	PspA_IM30	SIG	PspA_IM30	258	AOC05_11070	Arthrobacter alpinus	bacteria>actinobacteria	hypothetical protein AOC05_11070 [Arthrobacter alpinus]	928487378	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	PspA*-><-?||HTH-XRE->	PspA_IM30	PspA* ? HTH-XRE 
ALO66263.1	<-ABC-ATPase<-?<-?<-?<-?<-?<-HTH-XRE||?-><-PspA*	PspA_IM30	SIG	PspA_IM30	258	AS189_06870	Arthrobacter alpinus	bacteria>actinobacteria	hypothetical protein AS189_06870 [Arthrobacter alpinus]	953320980	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-ABC-ATPase<-?<-?<-?<-?<-?<-HTH-XRE||?-><-PspA*	PspA_IM30	 ABC-ATPase ? ? ? ? ? HTH-XRE ? PspA*
AMW08583.1	<-X?<-PspA*||?-><-?<-ADH_short	PspA_IM30	SIG	PspA_IM30	258	A4E84_03020	Streptomyces sp S102016	bacteria>actinobacteria	phage shock protein A [Streptomyces sp. S10(2016)]	1015637725	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-X?<-PspA*||?-><-?<-ADH_short	PspA_IM30	 X? PspA* ? ? ADH_short
ANB06025.1	<-X?<-PspA*	PspA_IM30	SIG	PspA_IM30	258	SAM40697_2065	Streptomyces ambofaciens	bacteria>actinobacteria	phage shock protein A [Streptomyces ambofaciens]	1023054173	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-X?<-PspA*	PspA_IM30	 X? PspA*
ANJ07120.1	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-X?<-PspA*	PspA_IM30	SIG	PspA_IM30	258	Spa2297_08950	Streptomyces parvulus	bacteria>actinobacteria	phage shock protein A [Streptomyces parvulus]	1035483950	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-X?<-PspA*	PspA_IM30	 LiaR:REC+HTH LiaS:SIG+TMs+HisKin X? PspA*
AQA11426.1	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-X?<-PspA*	PspA_IM30	SIG	PspA_IM30	258	BV401_13945	Streptomyces autolyticus	bacteria>actinobacteria	phage shock protein A [Streptomyces autolyticus]	1140126881	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-X?<-PspA*	PspA_IM30	 LiaR:REC+HTH LiaS:SIG+TMs+HisKin X? PspA*
BAB74041.1	<-Thioredoxin:trxA<-PspA*<-PspA<-TM?	PspA_IM30	-	PspA_IM30	258	all2342	Nostoc sp PCC 7120	bacteria>cyanobacteria	all2342 [Nostoc sp. PCC 7120]	17131434	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-Thioredoxin:trxA<-PspA*<-PspA<-TM?	PspA_IM30	 Thioredoxin:trxA PspA* PspA TM?
CAI38234.1	ADH_short-><-SIG+TMs-MFS:EmrB<-PspA*<-?<-?||?-><-Thioredoxin:trxA	SIG+PspA_IM30	SIG	PspA_IM30	258	jk2052	Corynebacterium jeikeium K411	bacteria>actinobacteria	hypothetical protein jk2052 [Corynebacterium jeikeium K411]	68264746	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	SIG+PspA_IM30	ADH_short-><-SIG+TMs-MFS:EmrB<-PspA*<-?<-?||?-><-Thioredoxin:trxA	SIG PspA_IM30	ADH_short SIG+TMs-MFS:EmrB PspA* ? ? ? Thioredoxin:trxA
KFF41230.1	PspA*->	PspA_IM30	-	PspA_IM30	258	ucyna2_00960	Candidatus Atelocyanobacterium thalassa isolate SIO64986	bacteria>cyanobacteria	phage shock protein A (PspA) family protein [Candidatus Atelocyanobacterium thalassa isolate SIO64986]	671395310	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	PspA*->	PspA_IM30	PspA* 
KKZ12841.1	<-PspA*	PspA_IM30	SIG	PspA_IM30	258	TE42_02850	Candidatus Synechococcus spongiarum SP3	bacteria>cyanobacteria	membrane protein [Candidatus Synechococcus spongiarum SP3]	821250664	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-PspA*	PspA_IM30	 PspA*
OBQ07941.1	PspA->PspA*->Thioredoxin:trxA->	PspA_IM30	-	PspA_IM30	258	AN489_12115	Anabaena sp 39858	bacteria>cyanobacteria	hypothetical protein AN489_12115 [Anabaena sp. 39858]	1039162579	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	PspA->PspA*->Thioredoxin:trxA->	PspA_IM30	PspA PspA* Thioredoxin:trxA 
AAM37852.1	<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-PspA*<-DUF2170	PspA_IM30	SIG	PspA_IM30	257	XAC3007	Xanthomonas axonopodis pv citri str 306	bacteria>proteobacteria>gammaproteobacteria	conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]	21109319	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspA_IM30	<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-PspA*<-DUF2170	PspA_IM30	 SpermGS-ATPgrasp SIG+DUF1190 SIG+TMs-DUF350 DUF2491 SIG+Ion_trans_2 PspA* DUF2170
AAM42110.1	<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-PspA*<-DUF2170	PspA_IM30	SIG	PspA_IM30	257	XCC2838	Xanthomonas campestris pv campestris str ATCC 33913	bacteria>proteobacteria>gammaproteobacteria	conserved hypothetical protein [Xanthomonas campestris pv. campestris str. ATCC 33913]	21114032	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspA_IM30	<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-PspA*<-DUF2170	PspA_IM30	 SpermGS-ATPgrasp SIG+DUF1190 SIG+TMs-DUF350 DUF2491 SIG+Ion_trans_2 PspA* DUF2170
AAW74501.1	DUF2170->PspA*->SIG+Ion_trans_2->DUF2491->SIG+TMs-DUF350->SIG+DUF1190->SpermGS-ATPgrasp->	PspA_IM30	SIG	PspA_IM30	257	PspA	Xanthomonas oryzae pv oryzae KACC 10331	bacteria>proteobacteria>gammaproteobacteria	Phage shock protein A (IM30), suppresses sigma54-dependent transcription [Xanthomonas oryzae pv. oryzae KACC 10331]	58425464	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspA_IM30	DUF2170->PspA*->SIG+Ion_trans_2->DUF2491->SIG+TMs-DUF350->SIG+DUF1190->SpermGS-ATPgrasp->	PspA_IM30	DUF2170 PspA* SIG+Ion_trans_2 DUF2491 SIG+TMs-DUF350 SIG+DUF1190 SpermGS-ATPgrasp 
ACD60549.1	<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-PspA*<-DUF2170	PspA_IM30	SIG	PspA_IM30	257	PXO_02185	Xanthomonas oryzae pv oryzae PXO99A	bacteria>proteobacteria>gammaproteobacteria	PspA/IM30 family protein [Xanthomonas oryzae pv. oryzae PXO99A]	188522604	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspA_IM30	<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-PspA*<-DUF2170	PspA_IM30	 SpermGS-ATPgrasp SIG+DUF1190 SIG+TMs-DUF350 DUF2491 SIG+Ion_trans_2 PspA* DUF2170
AEL08078.1	<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-PspA*<-DUF2170	PspA_IM30	SIG	PspA_IM30	257	XCR_3214	Xanthomonas campestris pv raphani 756C	bacteria>proteobacteria>gammaproteobacteria	PspA-IM30 family protein [Xanthomonas campestris pv. raphani 756C]	341937939	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspA_IM30	<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-PspA*<-DUF2170	PspA_IM30	 SpermGS-ATPgrasp SIG+DUF1190 SIG+TMs-DUF350 DUF2491 SIG+Ion_trans_2 PspA* DUF2170
AEM86612.1	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-X?<-PspA*	PspA_IM30	SIG	PspA_IM30	257	Strvi_7246	Streptomyces violaceusniger Tu 4113	bacteria>actinobacteria	phage shock protein A, PspA [Streptomyces violaceusniger Tu 4113]	344040887	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-LiaR:REC+HTH<-LiaS:SIG+TMs+HisKin<-X?<-PspA*	PspA_IM30	 LiaR:REC+HTH LiaS:SIG+TMs+HisKin X? PspA*
AEO43195.1	<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-PspA*<-DUF2170	PspA_IM30	SIG	PspA_IM30	257	XACM_2942	Xanthomonas axonopodis pv citrumelo F1	bacteria>proteobacteria>gammaproteobacteria	PspA/IM30 family protein [Xanthomonas axonopodis pv. citrumelo F1]	346650571	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspA_IM30	<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TMs-DUF350<-DUF2491<-SIG+Ion_trans_2<-PspA*<-DUF2170	PspA_IM30	 SpermGS-ATPgrasp SIG+DUF1190 SIG+TMs-DUF350 DUF2491 SIG+Ion_trans_2 PspA* DUF2170
AEQ95576.1	DUF2170->PspA*->SIG+Ion_trans_2->DUF2491->SIG+TMs-DUF350->SIG+DUF1190->SpermGS-ATPgrasp->	PspA_IM30	SIG	PspA_IM30	257	XOC_1393	Xanthomonas oryzae pv oryzicola BLS256	bacteria>proteobacteria>gammaproteobacteria	PspA-IM30 family protein [Xanthomonas oryzae pv. oryzicola BLS256]	353461297	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspA_IM30	DUF2170->PspA*->SIG+Ion_trans_2->DUF2491->SIG+TMs-DUF350->SIG+DUF1190->SpermGS-ATPgrasp->	PspA_IM30	DUF2170 PspA* SIG+Ion_trans_2 DUF2491 SIG+TMs-DUF350 SIG+DUF1190 SpermGS-ATPgrasp 
AFY30273.1	PspA*->Thioredoxin:trxA->?->?->?-><-ABC-ATPase	PspA_IM30	-	PspA_IM30	257	Cyagr_3194	Cyanobium gracile PCC 6307	bacteria>cyanobacteria	phage shock protein A (IM30), suppresses sigma54-dependent transcription [Cyanobium gracile PCC 6307]	427347560	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	PspA*->Thioredoxin:trxA->?->?->?-><-ABC-ATPase	PspA_IM30	PspA* Thioredoxin:trxA ? ? ? ABC-ATPase
AFY75976.1	<-Thioredoxin:trxA<-PspA*	PspA_IM30	-	PspA_IM30	257	Ple7327_0529	Pleurocapsa sp PCC 7327	bacteria>cyanobacteria	phage shock protein A (IM30), suppresses sigma54-dependent transcription [Pleurocapsa sp. PCC 7327]	427978376	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-Thioredoxin:trxA<-PspA*	PspA_IM30	 Thioredoxin:trxA PspA*
AFZ21491.1	PspA*->	SIG+PspA_IM30	SIG	PspA_IM30	257	Mic7113_5878	Microcoleus sp PCC 7113	bacteria>cyanobacteria	phage shock protein A (IM30), suppresses sigma54-dependent transcription [Microcoleus sp. PCC 7113]	428255532	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	SIG+PspA_IM30	PspA*->	SIG PspA_IM30	PspA* 
