AccNum	ClustName	GenContext.orig	DomArch.Pfam	DomArch.orig	Length	GeneName	Lineage	Species.orig	GCA_ID
XP_015286756.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1233	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_015286755.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1235	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_015286754.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1236	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_015286753.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1239	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_005571699.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1247	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_015286752.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1250	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_015286751.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1251	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_015286750.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1254	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_005571694.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1257	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_015286749.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1260	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_015296975.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+DUF3552+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM	1185	PPFIA3	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_005589915.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+DUF3552+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM	1194	PPFIA3	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_015303816.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF3584+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1199	PPFIA4	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_015303811.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF3584+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1208	PPFIA4	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
XP_017169497.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1166	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169496.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1167	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169495.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1169	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169494.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1172	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169493.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1173	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169492.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1175	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169490.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1176	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169491.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1176	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169489.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1177	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_006513852.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1177	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169488.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1179	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169487.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1180	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169483.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1180	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169486.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1181	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169485.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1182	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_006513850.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1183	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169484.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1184	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169482.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1185	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_006513849.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1186	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169481.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1187	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169480.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1189	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_006513848.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1190	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169479.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1240	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169478.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1241	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169477.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1244	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169475.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1246	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169473.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1249	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169471.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1250	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169472.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1250	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_006513844.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1251	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169467.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1253	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169468.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1253	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169465.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1254	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169464.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1257	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017169462.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1260	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_006508674.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+APG6+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1190	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006508673.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+APG6+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1201	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017177713.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1215	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006508672.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1226	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017177712.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1227	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017177711.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+APG6+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1231	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006508675.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+APG6+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1232	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006508671.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1236	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006508670.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1237	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
NP_001028491.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+APG6+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1241	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006508667.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1246	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017177709.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1256	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017177710.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1256	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006508664.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1257	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_011240297.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+APG6+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1262	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
NP_001182015.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1266	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006508662.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1266	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006508661.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1267	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_011240294.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1276	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_011240293.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1277	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_011240298.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1287	Ppfia1	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017169476.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1245	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006513845.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1247	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017169474.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1248	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017169470.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1250	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017169469.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1251	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006513843.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1254	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017169466.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1254	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006513841.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1255	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
NP_796347.2	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1256	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
NP_001192270.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1257	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006513840.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1258	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017169463.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1259	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006513839.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1260	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006513838.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1261	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_017169461.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1263	Ppfia2	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_011249216.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+DUF3552+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM	1185	Ppfia3	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006541336.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+DUF3552+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM	1194	Ppfia3	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_011249214.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+DUF3552+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM	1194	Ppfia3	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
NP_084017.2	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+DUF3552+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM	1194	Ppfia3	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006529911.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1175	Ppfia4	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006529910.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1184	Ppfia4	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
NP_001138327.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1187	Ppfia4	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_006529912.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1	EP1+SAM	927	Ppfia4	eukaryota>metazoa>chordata>vertebrata	Mus musculus	GCF_000001635.26
XP_012354336.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SIG+DUF5401+APG6+SAM_1+SAM_1+SAM_2	SIG+EP1+SAM+SAM+SAM	1201	PPFIA1	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_003278073.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SMC_N+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1202	PPFIA1	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_004089209.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	SIG+DUF5401+SAM_1+SAM_1+SAM_2	SIG+EP1+SAM+SAM+SAM	1104	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_004089208.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1152	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_003259651.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1156	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_003259652.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	APG6+DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1232	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_012355689.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1236	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_012355688.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1247	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_004089207.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1251	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_003259653.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1257	PPFIA2	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_012365137.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+DUF3552+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM	1148	PPFIA3	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_012357386.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	CCDC158+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1194	PPFIA4	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_018080354.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	DUF5401+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1151	LOC108695916	eukaryota>metazoa>chordata>vertebrata	Xenopus laevis	GCF_001663975.1
XP_018107858.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	APG6+DUF5401+SAM_1+SAM_1+SAM_2	VirB5+EP1+SAM+SAM	1232	LOC108711045	eukaryota>metazoa>chordata>vertebrata	Xenopus laevis	GCF_001663975.1
XP_018111521.1	EP1+SAM+SAM+SAM	EP1+SAM+SAM+SAM*->	CCDC158+SAM_1+SAM_1+SAM_2	EP1+SAM+SAM+SAM	1238	LOC108713186	eukaryota>metazoa>chordata>vertebrata	Xenopus laevis	GCF_001663975.1
