AccNum	GenContext	PFAM	DomArch	arch.TMSIG	Length	GenName	Lineage	Species.old	Annotation	GI	Query	ClustID	ClustName	TaxID	Species	GCA_ID
-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pspa	000485.1		NA	NA	NA
-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pspa	000485.1		NA	NA	NA
Smar1000011578	-	Myosin_N+Myosin_head+Myosin_tail_1	SidE+PspA+PspA	-	2008	Smar1000011578	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000011578	NA	pspa	000486.373	SIGMA-HTH+PspA	NA	NA	-
Smar1000001431	-	CCDC158+SAM_1+SAM_1+SAM_2	SidE+SAM+SAM+SAM	-	1090	Smar1000001431	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000001431	NA	pspa	000487.313	EP1+SAM+SAM+SAM	NA	NA	-
AJR22952.1	-	SIG+DUF972	SIG	SIG	107	TZ53_03405	bacteria>proteobacteria>alphaproteobacteria	Sphingobium sp. YBL2	hypothetical protein TZ53_03405 [Sphingobium sp. YBL2]	764452838	pspb	000003.60	TM+PspB	NA	NA	GCA_000943805.1
ABX48815.1	-	PspC	PspC	TM+TM	128	Sbal195_1642	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS195	phage shock protein C, PspC [Shewanella baltica OS195]	160860281	pspb	000005.19	PspC	NA	NA	GCA_000018765.1
ABX48815.1	-	PspC	PspC	TM+TM	128	Sbal195_1642	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS195	phage shock protein C, PspC [Shewanella baltica OS195]	160860281	pspb	000005.19	PspC	NA	NA	GCA_000018765.1
AEB29104.1	Toast-rack->PspC*->SIG+TM+TM+TM->	PspC	PspC	-	103	yvlC	bacteria>firmicutes	Carnobacterium sp. 17-4	putative regulator [Carnobacterium sp. 17-4]	328673058	pspc	000001.1368	PspC	NA	NA	GCA_000195575.1
ABX48815.1	PspA->PspB->PspC*->CR-ATPase1->TM+TM+IIGP1->	PspC	PspC	-	128	Sbal195_1642	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS195	phage shock protein C, PspC [Shewanella baltica OS195]	160860281	pspc	000002.476	PspC	NA	NA	GCA_000018765.1
ABX48815.1	PspA->PspB->PspC*->CR-ATPase1->TM+TM+IIGP1->	PspC	PspC	-	128	Sbal195_1642	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS195	phage shock protein C, PspC [Shewanella baltica OS195]	160860281	pspc	000002.476	PspC	NA	NA	GCA_000018765.1
ACI18584.1	PspC*->PspC+LiaI-LiaF-TM*->LiaI-LiaF-TM+Toast-rack-><-LACI-HTH+PBPI	PspC+TM+TM	PspC+TM+TM	-	121	DICTH_0497	bacteria>dictyoglomi	Dictyoglomus thermophilum H-6-12	PspC domain family [Dictyoglomus thermophilum H-6-12]	206739526	pspc	000004.200	PspC+LiaI-LiaF-TM	NA	NA	GCA_000020965.1
AIQ14449.1	<-PspA<-PspC*<-PspA	PspC	PspC	-	166	PDUR_22990	bacteria>firmicutes	Paenibacillus durus	hypothetical protein PDUR_22990 [Paenibacillus durus]	686570393	pspc	000010.35	PspC	NA	NA	GCA_000756615.1
ACY22441.1	PspC*-><-SIG+CW-binding-EndolysinC<-REC+LuxR-HTH	PspC	PspC	-	129	Gbro_3236	bacteria>actinobacteria	Gordonia bronchialis DSM 43247	PspC domain protein [Gordonia bronchialis DSM 43247]	262086473	pspc	000090.1	PspC	NA	NA	GCA_000024785.1
ACY20665.1	DUF1707-SHOCT-bihelical+Toast-rack*-><-?||?->?->?->UPF0126+UPF0126+TM-><-adh_short	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	217	Gbro_1382	bacteria>actinobacteria	Gordonia bronchialis DSM 43247	protein of unknown function DUF1707 [Gordonia bronchialis DSM 43247]	262084697	Toast-rack	000001.461	DUF1707-SHOCT-bihelical+Toast-rack	NA	NA	GCA_000024785.1
AKK03387.1	<-TP_methylase<-?<-?||DUF1707-SHOCT-bihelical+Toast-rack*-><-3-dmu-9_3-mt+3-dmu-9_3-mt<-VWA_2<-AAA_5<-Mqo	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	198	CEPID_07685	bacteria>actinobacteria	Corynebacterium epidermidicanis	putative DUF1707 family protein/predicted membrane protein (DUF2154) [Corynebacterium epidermidicanis]	827628094	Toast-rack	000001.461	DUF1707-SHOCT-bihelical+Toast-rack	NA	NA	GCA_001021025.1
AKK03387.1	<-TP_methylase<-?<-?||DUF1707-SHOCT-bihelical+Toast-rack*-><-3-dmu-9_3-mt+3-dmu-9_3-mt<-VWA_2<-AAA_5<-Mqo	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	198	CEPID_07685	bacteria>actinobacteria	Corynebacterium epidermidicanis	putative DUF1707 family protein/predicted membrane protein (DUF2154) [Corynebacterium epidermidicanis]	827628094	Toast-rack	000001.461	DUF1707-SHOCT-bihelical+Toast-rack	NA	NA	GCA_001021025.1
ABG98050.1	DUF1707-SHOCT-bihelical+Toast-rack*-><-?<-Aldedh	-	DUF1707-SHOCT-bihelical+Toast-rack	-	130	RHA1_ro06273	bacteria>actinobacteria	Rhodococcus jostii RHA1	conserved hypothetical protein [Rhodococcus jostii RHA1]	110822766	Toast-rack	000002.1	DUF1707-SHOCT-bihelical+Toast-rack	NA	NA	GCA_000014565.1
ADV42551.1	SIG+Toast-rack*->	SIG+DUF2807	SIG+Toast-rack	SIG	287	Bache_0526	bacteria>bacteroidetes	Bacteroides helcogenes P 36-108	putative lipoprotein [Bacteroides helcogenes P 36-108]	319415440	Toast-rack	000003.344	SIG+Toast-rack	NA	NA	GCA_000186225.1
AJK88848.1	LiaI-LiaF-TM->PspA->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	SIG+TM+DUF2154	SIG+TM+Toast-rack	SIG+TM	227	HR49_17775	bacteria>firmicutes	Lysinibacillus fusiformis	membrane protein [Lysinibacillus fusiformis]	756121158	Toast-rack	000006.193	SIG+TM+TM+Toast-rack	NA	NA	GCA_000724775.3
AJK88848.1	LiaI-LiaF-TM->PspA->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	SIG+TM+DUF2154	SIG+TM+Toast-rack	SIG+TM	227	HR49_17775	bacteria>firmicutes	Lysinibacillus fusiformis	membrane protein [Lysinibacillus fusiformis]	756121158	Toast-rack	000006.193	SIG+TM+TM+Toast-rack	NA	NA	GCA_000724775.3
AKA35661.1	SIG+OmpA-beta-barrel->SIG+Toast-rack*->?-><-?||PDT->SIG+Aminotran_1_2->PDH->?-><-?||SIG+Toast-rack*-><-?||?->?->?->?->?->EPSP_synthase->	SIG+DUF2807	SIG+Toast-rack	SIG	266	VC82_2064	bacteria>bacteroidetes	Muricauda lutaonensis	Conserved hypothetical lipoprotein [Muricauda lutaonensis]	787939186	Toast-rack	000022.45	SIG+Toast-rack	NA	NA	GCA_000963865.1
APY01519.1	SIG+Toast-rack*->	DUF2807	Toast-rack	-	263	BWR22_11045	bacteria>bacteroidetes	Lacinutrix venerupis	hypothetical protein BWR22_11045 [Lacinutrix venerupis]	1134986339	Toast-rack	000032.29	SIG+Toast-rack	NA	NA	GCA_001971745.1
ACX66911.1	MerR+MerR_1-><-SIG+Toast-rack*	SIG+DUF4097	SIG+Toast-rack	SIG	301	GYMC10_4691	bacteria>firmicutes	Paenibacillus sp. Y412MC10	hypothetical protein GYMC10_4691 [Paenibacillus sp. Y412MC10]	261284940	Toast-rack	000073.12	SIG+Toast-rack	NA	NA	GCA_000024685.1
ACB75115.1	<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-?<-?<-SIG+Toast-rack*	SIG+DUF4097	SIG+Toast-rack	SIG+Ntox27	254	Oter_1832	bacteria>verrucomicrobia	Opitutus terrae PB90-1	conserved hypothetical protein [Opitutus terrae PB90-1]	177840863	Toast-rack	000083.11	SIG+Toast-rack	NA	NA	GCA_000019965.1
Pram1000005231	-	SIG+DUF2807+TM	SIG+Toast-rack+TM	SIG+TM	435	Pram1000005231	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000005231	NA	Toast-rack	000132.6	SIG+Toast-rack+TM	NA	NA	-
Pram1000004800	-	SIG+SWI-SNF_Ssr4+TM+TM+TM+TM+TM+TM	SIG+Beta-Roll+Beta-Roll+7TMEUK	SIG+TM+TM+TM+TM+TM+TM	2153	Pram1000004800	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000004800	NA	Toast-rack	000198.4	SIG+Beta-Roll+Toast-rack+TM+TM+7TMEUK	NA	NA	-
AEI39621.1	LiaI-LiaF-TM+Toast-rack*->	SIG+TM+TM+DUF4097	LiaI-LiaF-TM+Toast-rack	SIG+TM+TM+CTXA-Cterm	411	KNP414_01031	bacteria>firmicutes	Paenibacillus mucilaginosus KNP414	hypothetical protein KNP414_01031 [Paenibacillus mucilaginosus KNP414]	336296518	Toast-rack	000205.4	LiaI-LiaF-TM+Toast-rack	NA	NA	GCA_000218915.1
Pram1000005232	-	DUF2807+TM	Toast-rack+TM	TM	430	Pram1000005232	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000005232	NA	Toast-rack	000257.3	Toast-rack+TM	NA	NA	-
Bcir1000015244	-	TM+DUF4097+O-FucT	TM+Toast-rack	TM	970	Bcir1000015244	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000015244	NA	Toast-rack	000325.2	TM+Toast-rack	NA	NA	-
Lhya1000001619	-	DUF4097	Toast-rack	-	195	Lhya1000001619	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000001619	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Pisp1000011636	-	PAT1+Atrophin-1	Toast-rack	-	996	Pisp1000011636	eukaryota>fungi>neocallimastigomycota	Piromyces sp	>Pisp1000011636	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Pram1000005240	-	Actin+DUF2807	Toast-rack	-	713	Pram1000005240	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000005240	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Bcir1000011014	-	DUF4097	Toast-rack	-	282	Bcir1000011014	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000011014	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Uram1000002532	-	-	Toast-rack	-	288	Uram1000002532	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000002532	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Lhya1000007378	-	-	Toast-rack	-	534	Lhya1000007378	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000007378	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Bcir1000012045	-	-	Toast-rack	-	333	Bcir1000012045	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000012045	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Smar1000007746	-	DUF4097	Toast-rack	-	372	Smar1000007746	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000007746	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Bcir1000012046	-	-	Toast-rack	-	403	Bcir1000012046	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000012046	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Crev1000002900	-	-	Toast-rack	-	455	Crev1000002900	eukaryota>fungi>kickxellomycotina	Coemansia reversa	>Crev1000002900	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Crev1000002893	-	DUF4097	Toast-rack	-	412	Crev1000002893	eukaryota>fungi>kickxellomycotina	Coemansia reversa	>Crev1000002893	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Crev1000002901	-	-	Toast-rack	-	435	Crev1000002901	eukaryota>fungi>kickxellomycotina	Coemansia reversa	>Crev1000002901	NA	Toast-rack	000446.1	Toast-rack	NA	NA	-
Caps1000008891	-	SIG+DUF4097	SIG+Toast-rack	SIG	378	Caps1000008891	eukaryota>metazoa>annelida	Capitella spI	>Caps1000008891	NA	Toast-rack	000449.1	SIG+Toast-rack	NA	NA	-
Lhya1000000104	-	SIG+DUF4097	SIG+Toast-rack	SIG	402	Lhya1000000104	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000000104	NA	Toast-rack	000449.1	SIG+Toast-rack	NA	NA	-
AEE96464.1	ABC-ATPase->?->GNTR-HTH->ABC-ATPase->?->SIG+Toast-rack*->ABC-ATPase->?->?->REC+LYTTR->SIG+TM+HAMP+HISKIN->	SIG+DUF4097	SIG+Toast-rack	SIG	297	Mahau_1270	bacteria>firmicutes	Mahella australiensis 50-1 BON	hypothetical protein Mahau_1270 [Mahella australiensis 50-1 BON]	332699523	Toast-rack	000449.1	SIG+Toast-rack	NA	NA	GCA_000213255.1
ADB49219.1	<-GFA<-?||SIG+tRNA_U5-meth_tr->?-><-?||ADH_N+ADH_zinc_N->SIG+Toast-rack*-><-?<-UDG<-?<-?<-SIG+CDP-OH_P_transf+TM+TM+TM	SIG+DUF4097	SIG+Toast-rack	SIG	268	Cwoe_0786	bacteria>actinobacteria	Conexibacter woesei DSM 14684	hypothetical protein Cwoe_0786 [Conexibacter woesei DSM 14684]	283946475	Toast-rack	000449.1	SIG+Toast-rack	NA	NA	GCA_000025265.1
Uram1000008702	-	TM+DUF4097	TM+Toast-rack	TM	664	Uram1000008702	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000008702	NA	Toast-rack	000450.1	TM+Toast-rack	NA	NA	-
Uram1000001527	-	TM+DUF4097	TM+Toast-rack	TM	353	Uram1000001527	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000001527	NA	Toast-rack	000450.1	TM+Toast-rack	NA	NA	-
Lhya1000008967	-	TM	TM+Toast-rack	TM	391	Lhya1000008967	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000008967	NA	Toast-rack	000450.1	TM+Toast-rack	NA	NA	-
Pram1000005233	-	DUF2807+TM+TM+DUF2807+TM	Toast-rack+TM+TM+Toast-rack+TM	TM+TM+TM	852	Pram1000005233	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000005233	NA	Toast-rack	000471.1	Toast-rack+TM	NA	NA	-
Caps1000010355	-	Herpes_BLLF1+TM	Toast-rack+TM	TM	270	Caps1000010355	eukaryota>metazoa>annelida	Capitella spI	>Caps1000010355	NA	Toast-rack	000471.1	Toast-rack+TM	NA	NA	-
Crev1000006188	-	TM	TM+Toast-rack+Toast-rack	TM	547	Crev1000006188	eukaryota>fungi>kickxellomycotina	Coemansia reversa	>Crev1000006188	NA	Toast-rack	000472.1	TM+TM+TM+Toast-rack	NA	NA	-
Bcir1000009799	-	SIG+TM	SIG+TM+Toast-rack	SIG+TM	558	Bcir1000009799	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000009799	NA	Toast-rack	000474.1	SIG+Toast-rack	NA	NA	-
Lhya1000002695	-	SIG+TM	SIG+TM+Toast-rack	SIG+TM	473	Lhya1000002695	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000002695	NA	Toast-rack	000474.1	SIG+Toast-rack	NA	NA	-
Uram1000009606	-	SIG+RCR+TM+DUF4097	SIG+TM+Toast-rack+Toast-rack	SIG+TM	692	Uram1000009606	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000009606	NA	Toast-rack	000474.1	SIG+Toast-rack	NA	NA	-
Uram1000003181	-	SIG	SIG+Toast-rack+Toast-rack	SIG	412	Uram1000003181	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000003181	NA	Toast-rack	000474.1	SIG+Toast-rack	NA	NA	-
