AccNum	ClustID	ClustName.orig	GenContext.orig	DomArch.Pfam	DomArch.orig	Length	GeneName	Lineage	Species.orig	GCA_ID	ClustName	Species	GenContext	DomArch
AJR09095.1	000002.169	SIG+PspB	<-SIG+PspB*	SIG	SIG	78	H744_2c2439	bacteria>proteobacteria>gammaproteobacteria	Photobacterium gaetbulicola Gung47	GCA_000940995.1	SIG+PspB	Photobacterium gaetbulicola Gung47	SIG+PspB*->	SIG
AQQ00836.1	000002.169	SIG+PspB	<-SIG+PspB*	LRRFIP	SIG+PspB	80	B0W48_14065	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas aliena	GCA_001999225.1	SIG+PspB	Pseudoalteromonas aliena	SIG+PspB*->	SIG+PspB
ABG41622.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	77	Patl_3116	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas atlantica T6c	GCA_000014225.1	SIG+PspB	Pseudoalteromonas atlantica T6c	SIG+PspB*->	SIG
CAI86189.1	000002.169	SIG+PspB	<-SIG+PspB*	Tim54	SIG+PspB	80	PSHAa1114	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas haloplanktis TAC125	GCA_000026085.1	SIG+PspB	Pseudoalteromonas haloplanktis TAC125	SIG+PspB*->	SIG+PspB
ALQ55143.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG+PspB	80	PI2015_1854	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas issachenkonii	GCA_001455325.1	SIG+PspB	Pseudoalteromonas issachenkonii	SIG+PspB*->	SIG+PspB
AOT09142.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	PspB	76	S4054249_15390	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas luteoviolacea	GCA_001750165.1	SIG+PspB	Pseudoalteromonas luteoviolacea	SIG+PspB*->	PspB
AOT18970.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	PspB	76	S4054_15365	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas luteoviolacea	GCA_001750185.1	SIG+PspB	Pseudoalteromonas luteoviolacea	SIG+PspB*->	PspB
AOT14055.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	PspB	76	S40542_15360	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas luteoviolacea	GCA_001750405.1	SIG+PspB	Pseudoalteromonas luteoviolacea	SIG+PspB*->	PspB
ALO41860.1	000002.169	SIG+PspB	<-SIG+PspB*	SIG	SIG	76	PP2015_1351	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas phenolica	GCA_001444405.1	SIG+PspB	Pseudoalteromonas phenolica	SIG+PspB*->	SIG
AIY65806.1	000002.169	SIG+PspB	pspF-NtrC-AAA+FIS-HTH->SIG+PspB*->	SIG+DUF4407	SIG+PspB	80	OM33_12115	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas piratica	GCA_000788395.1	SIG+PspB	Pseudoalteromonas piratica	pspF-NtrC-AAA+FIS-HTH->SIG+PspB*->	SIG+PspB
ALU41522.1	000002.169	SIG+PspB	<-SIG+PspB*	SIG	SIG	76	AT705_00410	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas rubra	GCA_001482385.1	SIG+PspB	Pseudoalteromonas rubra	SIG+PspB*->	SIG
ALQ08629.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG+PspB	80	D172_011440	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas sp. Bsw20308	GCA_000310105.2	SIG+PspB	Pseudoalteromonas sp Bsw20308	SIG+PspB*->	SIG+PspB
ADT68838.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG+PspB	80	PSM_A1914	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas sp. SM9913	GCA_000184065.1	SIG+PspB	Pseudoalteromonas sp SM9913	SIG+PspB*->	SIG+PspB
ALS32535.1	000002.169	SIG+PspB	<-SIG+PspB*	Tim54	SIG+PspB	80	PTRA_a1302	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas translucida KMM 520	GCA_001465295.1	SIG+PspB	Pseudoalteromonas translucida KMM 520	SIG+PspB*->	SIG+PspB
ABL99802.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	79	Sama_1595	bacteria>proteobacteria>gammaproteobacteria	Shewanella amazonensis SB2B	GCA_000015245.1	SIG+PspB	Shewanella amazonensis SB2B	SIG+PspB*->	SIG
AEH12478.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	76	Sbal117_0688	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS117	GCA_000215895.1	SIG+PspB	Shewanella baltica OS117	SIG+PspB*->	SIG
ABN60115.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	76	Sbal_0586	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS155	GCA_000015845.1	SIG+PspB	Shewanella baltica OS155	SIG+PspB*->	SIG
ABX51025.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG	SIG	76	Sbal195_3865	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS195	GCA_000018765.1	SIG+PspB	Shewanella baltica OS195	SIG+PspC*->	SIG
ACK48160.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG	SIG	76	Sbal223_3682	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS223	GCA_000021665.1	SIG+PspB	Shewanella baltica OS223	SIG+PspC*->	SIG
ADT96025.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG	SIG	76	Sbal678_3895	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS678	GCA_000178875.2	SIG+PspB	Shewanella baltica OS678	SIG+PspC*->	SIG
ABE53572.1	000002.169	SIG+PspB	<-SIG+PspB*	SIG	PspB	76	Sden_0276	bacteria>proteobacteria>gammaproteobacteria	Shewanella denitrificans OS217	GCA_000013765.1	SIG+PspB	Shewanella denitrificans OS217	SIG+PspB*->	PspB
ABI71414.1	000002.169	SIG+PspB	<-SIG+PspB*	SIG	PspB	76	Sfri_1563	bacteria>proteobacteria>gammaproteobacteria	Shewanella frigidimarina NCIMB 400	GCA_000014705.1	SIG+PspB	Shewanella frigidimarina NCIMB 400	SIG+PspB*->	PspB
AAN56986.2	000002.169	SIG+PspB	<-SIG+PspB*	SIG	SIG	76	SO_4012	bacteria>proteobacteria>gammaproteobacteria	Shewanella oneidensis MR-1	GCA_000146165.2	SIG+PspB	Shewanella oneidensis MR1	SIG+PspB*->	SIG
ADV53074.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	76	Sput200_0590	bacteria>proteobacteria>gammaproteobacteria	Shewanella putrefaciens 200	GCA_000169215.2	SIG+PspB	Shewanella putrefaciens 200	SIG+PspB*->	SIG
ABP74389.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	76	Sputcn32_0659	bacteria>proteobacteria>gammaproteobacteria	Shewanella putrefaciens CN-32	GCA_000016585.1	SIG+PspB	Shewanella putrefaciens CN32	SIG+PspB*->	SIG
ABK46868.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	76	Shewana3_0629	bacteria>proteobacteria>gammaproteobacteria	Shewanella sp. ANA-3	GCA_000203935.1	SIG+PspB	Shewanella sp ANA3	SIG+PspB*->	SIG
ABI37709.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	76	Shewmr4_0629	bacteria>proteobacteria>gammaproteobacteria	Shewanella sp. MR-4	GCA_000014685.1	SIG+PspB	Shewanella sp MR4	SIG+PspB*->	SIG
ABI44381.1	000002.169	SIG+PspB	<-SIG+PspB*	SIG	SIG	76	Shewmr7_3400	bacteria>proteobacteria>gammaproteobacteria	Shewanella sp. MR-7	GCA_000014665.1	SIG+PspB	Shewanella sp MR7	SIG+PspB*->	SIG
ABM26327.1	000002.169	SIG+PspB	<-SIG+PspB*	SIG	SIG	76	Sputw3181_3515	bacteria>proteobacteria>gammaproteobacteria	Shewanella sp. W3-18-1	GCA_000015185.1	SIG+PspB	Shewanella sp W3181	SIG+PspB*->	SIG
BAO43940.1	000002.169	SIG+PspB	-	SIG	PspB	76	TBH_C1010	bacteria>proteobacteria>gammaproteobacteria	Thiolapillus brandeum	GCA_000828615.1	SIG+PspB	Thiolapillus brandeum	-	PspB
ALR94095.1	000002.169	SIG+PspB	SIG+PspC*->	SIG+Fmp27_WPPW	SIG	84	AT730_17325	bacteria>proteobacteria>gammaproteobacteria	Vibrio alginolyticus	GCA_001469735.1	SIG+PspB	Vibrio alginolyticus	SIG+PspC*->	SIG
ANP67252.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG+Fmp27_WPPW	SIG	84	BAU10_20075	bacteria>proteobacteria>gammaproteobacteria	Vibrio alginolyticus	GCA_001679745.1	SIG+PspB	Vibrio alginolyticus	SIG+PspC*->	SIG
AGV20182.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG+Fmp27_WPPW	SIG	84	N646_4373	bacteria>proteobacteria>gammaproteobacteria	Vibrio alginolyticus NBRC 15630 = ATCC 17749	GCA_000354175.2	SIG+PspB	Vibrio alginolyticus NBRC 15630 ATCC 17749	SIG+PspC*->	SIG
ACY52745.1	000002.169	SIG+PspB	SIG+PspC*->	SIG+Fmp27_WPPW	SIG	84	VEA_000057	bacteria>proteobacteria>gammaproteobacteria	Vibrio antiquarius	GCA_000024825.1	SIG+PspB	Vibrio antiquarius	SIG+PspC*->	SIG
APX08636.1	000002.169	SIG+PspB	SIG+PspC*->	SIG	SIG	81	BWP24_20875	bacteria>proteobacteria>gammaproteobacteria	Vibrio campbellii	GCA_001969325.1	SIG+PspB	Vibrio campbellii	SIG+PspC*->	SIG
ABU73578.1	000002.169	SIG+PspB	SIG+PspC*->	SIG	SIG	81	VIBHAR_05680	bacteria>proteobacteria>gammaproteobacteria	Vibrio campbellii ATCC BAA-1116	GCA_000017705.1	SIG+PspB	Vibrio campbellii ATCC BAA1116	SIG+PspC*->	SIG
AGU97591.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG	SIG	81	M892_23235	bacteria>proteobacteria>gammaproteobacteria	Vibrio campbellii ATCC BAA-1116	GCA_000464435.1	SIG+PspB	Vibrio campbellii ATCC BAA1116	SIG+PspC*->	SIG
AIV08969.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG	SIG	81	LA59_26685	bacteria>proteobacteria>gammaproteobacteria	Vibrio harveyi	GCA_000770115.2	SIG+PspB	Vibrio harveyi	SIG+PspC*->	SIG
AMG00870.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG	SIG	81	AL538_24690	bacteria>proteobacteria>gammaproteobacteria	Vibrio harveyi	GCA_001558435.1	SIG+PspB	Vibrio harveyi	SIG+PspC*->	SIG
APP07694.1	000002.169	SIG+PspB	SIG+PspC*->	SIG	SIG	81	BG259_20700	bacteria>proteobacteria>gammaproteobacteria	Vibrio harveyi	GCA_001908435.2	SIG+PspB	Vibrio harveyi	SIG+PspC*->	SIG
ANQ19354.1	000002.169	SIG+PspB	SIG+PspC*->	SIG+Fmp27_WPPW	SIG	84	BA891_19465	bacteria>proteobacteria>gammaproteobacteria	Vibrio natriegens	GCA_001680045.1	SIG+PspB	Vibrio natriegens	SIG+PspC*->	SIG
ANQ24153.1	000002.169	SIG+PspB	SIG+PspC*->	SIG+Fmp27_WPPW	SIG	84	BA893_21295	bacteria>proteobacteria>gammaproteobacteria	Vibrio natriegens	GCA_001680065.1	SIG+PspB	Vibrio natriegens	SIG+PspC*->	SIG
ANQ29294.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG+Fmp27_WPPW	SIG	84	BA894_23205	bacteria>proteobacteria>gammaproteobacteria	Vibrio natriegens	GCA_001680085.1	SIG+PspB	Vibrio natriegens	SIG+PspC*->	SIG
ALR18268.1	000002.169	SIG+PspB	SIG+PspC*->	SIG+Fmp27_WPPW	SIG	84	PN96_20265	bacteria>proteobacteria>gammaproteobacteria	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	GCA_001456255.1	SIG+PspB	Vibrio natriegens NBRC 15636 ATCC 14048 DSM 759	SIG+PspC*->	SIG
ANQ14216.1	000002.169	SIG+PspB	SIG+PspC*->	SIG+Fmp27_WPPW	SIG	84	BA890_15765	bacteria>proteobacteria>gammaproteobacteria	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	GCA_001680025.1	SIG+PspB	Vibrio natriegens NBRC 15636 ATCC 14048 DSM 759	SIG+PspC*->	SIG
ANB99723.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG+Fmp27_WPPW	SIG	84	FORC14_4027	bacteria>proteobacteria>gammaproteobacteria	Vibrio parahaemolyticus	GCA_001636035.1	SIG+PspB	Vibrio parahaemolyticus	SIG+PspC*->	SIG
APC89984.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG+Fmp27_WPPW	SIG	84	FORC22_4123	bacteria>proteobacteria>gammaproteobacteria	Vibrio parahaemolyticus	GCA_001879585.1	SIG+PspB	Vibrio parahaemolyticus	SIG+PspC*->	SIG
AGQ93586.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG+Fmp27_WPPW	SIG	84	M634_22900	bacteria>proteobacteria>gammaproteobacteria	Vibrio parahaemolyticus O1:Kuk str. FDA_R31	GCA_000430405.1	SIG+PspB	Vibrio parahaemolyticus O1:Kuk str FDA_R31	SIG+PspC*->	SIG
BAC62341.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG+Fmp27_WPPW	SIG	84	VPA0998	bacteria>proteobacteria>gammaproteobacteria	Vibrio parahaemolyticus RIMD 2210633	GCA_000196095.1	SIG+PspB	Vibrio parahaemolyticus RIMD 2210633	SIG+PspC*->	SIG
AHJ02004.1	000002.169	SIG+PspB	<-SIG+PspC*	SIG+Fmp27_WPPW	SIG	84	VPUCM_20883	bacteria>proteobacteria>gammaproteobacteria	Vibrio parahaemolyticus UCM-V493	GCA_000568495.1	SIG+PspB	Vibrio parahaemolyticus UCMV493	SIG+PspC*->	SIG
AEX24321.1	000002.169	SIG+PspB	SIG+PspC*->	SIG+Fmp27_WPPW	SIG	84	VEJY3_19511	bacteria>proteobacteria>gammaproteobacteria	Vibrio sp. EJY3	GCA_000241385.1	SIG+PspB	Vibrio sp EJY3	SIG+PspC*->	SIG
AIL72670.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	84	VV93_v1c36100	bacteria>proteobacteria>gammaproteobacteria	Vibrio vulnificus	GCA_000746665.1	SIG+PspB	Vibrio vulnificus	SIG+PspB*->	SIG
ALM73003.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	84	FORC9_3486	bacteria>proteobacteria>gammaproteobacteria	Vibrio vulnificus	GCA_001433435.1	SIG+PspB	Vibrio vulnificus	SIG+PspB*->	SIG
ANN28593.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	84	FORC17_3530	bacteria>proteobacteria>gammaproteobacteria	Vibrio vulnificus	GCA_001675245.1	SIG+PspB	Vibrio vulnificus	SIG+PspB*->	SIG
ADV88618.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	84	VVMO6_03596	bacteria>proteobacteria>gammaproteobacteria	Vibrio vulnificus MO6-24/O	GCA_000186585.1	SIG+PspB	Vibrio vulnificus MO624O	SIG+PspB*->	SIG
BAC96633.1	000002.169	SIG+PspB	SIG+PspB*->	SIG	SIG	84	VVA0607	bacteria>proteobacteria>gammaproteobacteria	Vibrio vulnificus YJ016	GCA_000009745.1	SIG+PspB	Vibrio vulnificus YJ016	SIG+PspB*->	SIG
